atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct
0,Uninformative,0,,11709,1.4635609692075973
1,Entangled,4,"TXT:Abnormal R-wave progression, early trans; TXT:RBBB and LAFB; TXT:ST elev, probable normal early repol pat; TXT:Atrial-sensed ventricular-paced rhythm",37794,4.724043323104614
2,Uninformative,0,,4,0.0004999781259569894
3,Entangled,2,TXT:Severe right axis deviation; TXT:Atrial fibrillation with slow ventricula,42894,5.3615154336997755
4,Uninformative,0,,5,0.0006249726574462368
5,Uninformative,0,,92,0.011499496897010755
6,Uninformative,0,,736,0.09199597517608604
7,Uninformative,0,,31947,3.993200297486985
8,Uninformative,0,,28026,3.503096739517646
9,Uninformative,0,,37610,4.701044329310593
10,Uninformative,0,,2,0.0002499890629784947
11,Uninformative,0,,16913,2.1140325110776406
12,Uninformative,0,,25235,3.1542370021311568
13,Separable,1,NUM:bradycardia,52882,6.609960814214378
14,Uninformative,0,,1061,0.13261919791009144
15,Uninformative,0,,22954,2.8691244758041834
16,Uninformative,0,,2,0.0002499890629784947
17,Uninformative,0,,20666,2.583136987756786
18,Uninformative,0,,78,0.009749573456161294
19,Uninformative,0,,2486,0.3107364052822689
20,Uninformative,0,,44606,5.575506071609367
21,Uninformative,0,,9,0.0011249507834032262
22,Uninformative,0,,21824,2.727880655221334
23,Uninformative,0,,622,0.07774659858631185
24,Uninformative,0,,22041,2.7550044685545005
25,Uninformative,0,,1,0.00012499453148924735
26,Uninformative,0,,8758,1.0947021067828282
27,Uninformative,0,,410,0.05124775791059141
28,Uninformative,0,,14,0.0017499234408494629
29,Separable,1,TXT:Probable sinus tachycardia,144350,18.042960620472854
30,Uninformative,0,,2,0.0002499890629784947
31,Dead,0,,0,0.0
32,Uninformative,0,,35965,4.4954283250107805
33,Uninformative,0,,45,0.00562475391701613
34,Uninformative,0,,4,0.0004999781259569894
35,Separable,1,"TXT:ST elev, probable normal early repol pat",14095,1.7617979213409414
36,Uninformative,0,,5881,0.7350928396882637
